;D0.2.1.2.1;;;;;G0.2.2.3.2.2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Extraction et distribution de combustibles gazeux;D0.2.1.2.1.7;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 3,47 ; 3,71 ; 3,53 ; 3,47 ; 3,53 ; 3,37 ; 3,45 ; 3,35 ; 3,14 ; 3,16 ; 3,16 ; 2,94 ; 3,02 ; 3,09 ; 3,18 ; 3,15 ; 3,03 ; 2,91 ; 2,90 ; 2,82 ; 2,49 ; 2,28 ; 2,34 ; 2,17 ; 1,82 ; 1,75 ; 1,76 ; 1,65 ; 1,60 ; 1,58 ; 1,27 ; 1,20 ; 1,25 ; 1,11 
Fabrication de charbon de bois par pyrolyse;D0.2.1.2.1.8;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 0,05 ; 0,04 ; 0,04 ; 0,03 ; 0,03 ; 0,03 ; 0,02 ; 0,02 ; 0,01 ; 0,01 ; 0,00 ; 0,00 ; 0,00 ; 0,00 ; 0,00 ; 0,00 ; 0,00 ; 0,00 ; 0,00 ; 0,00 ; 0,00 ; 0,00 ; 0,00 ; 0,00 ; 0,00 ; 0,00 ; 0,00 ; 0,00 ; 0,00 ; 0,00 ; 0,00 ; 0,00 ; 0,00 ; 0,00 
Valorisation énergétique des déchets;D0.2.1.2.1.9;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 2,73 ; 2,98 ; 3,23 ; 3,49 ; 3,52 ; 3,54 ; 3,50 ; 3,53 ; 3,54 ; 3,93 ; 4,13 ; 4,41 ; 4,70 ; 4,90 ; 5,09 ; 5,06 ; 4,93 ; 4,84 ; 4,81 ; 5,15 ; 5,58 ; 5,73 ; 5,97 ; 6,29 ; 6,61 ; 6,78 ; 6,97 ; 7,06 ; 7,10 ; 7,14 ; 7,18 ; 7,15 ; 7,14 ; 7,14 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chimie;D0.2.1.2.2.1;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 49,52 ; 53,96 ; 50,88 ; 48,81 ; 50,22 ; 50,22 ; 51,96 ; 51,73 ; 42,40 ; 37,99 ; 36,78 ; 39,16 ; 34,71 ; 35,04 ; 31,84 ; 32,96 ; 30,49 ; 30,24 ; 28,90 ; 26,01 ; 24,98 ; 23,61 ; 22,75 ; 22,44 ; 21,99 ; 21,62 ; 20,59 ; 20,47 ; 19,60 ; 18,71 ; 17,64 ; 18,67 ; 16,58 ; 15,52 
Construction;D0.2.1.2.2.2;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 3,52 ; 3,55 ; 3,58 ; 3,55 ; 2,83 ; 3,19 ; 3,23 ; 2,96 ; 4,93 ; 4,44 ; 3,95 ; 4,82 ; 6,23 ; 5,93 ; 5,62 ; 5,24 ; 5,18 ; 4,39 ; 3,86 ; 3,17 ; 2,91 ; 4,16 ; 4,01 ; 3,98 ; 3,88 ; 3,81 ; 3,75 ; 3,76 ; 3,76 ; 3,84 ; 3,67 ; 3,83 ; 3,85 ; 3,61 
Biens d'équipements, matériels de transport;D0.2.1.2.2.3;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 5,29 ; 6,06 ; 5,68 ; 6,24 ; 5,68 ; 6,28 ; 6,83 ; 6,34 ; 6,02 ; 6,27 ; 6,11 ; 6,57 ; 6,05 ; 6,25 ; 5,82 ; 5,92 ; 5,27 ; 4,88 ; 5,10 ; 4,10 ; 4,61 ; 3,84 ; 3,91 ; 3,88 ; 3,20 ; 3,19 ; 3,32 ; 3,33 ; 3,21 ; 3,12 ; 3,53 ; 3,53 ; 3,25 ; 3,05 
Agro-alimentaire;D0.2.1.2.2.4;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 8,79 ; 10,77 ; 9,93 ; 10,31 ; 10,39 ; 11,08 ; 11,03 ; 10,85 ; 10,98 ; 11,66 ; 11,05 ; 11,53 ; 11,49 ; 11,20 ; 10,71 ; 11,44 ; 11,78 ; 11,87 ; 11,15 ; 10,39 ; 11,59 ; 11,05 ; 10,59 ; 10,82 ; 10,56 ; 10,23 ; 10,50 ; 9,83 ; 9,69 ; 9,56 ; 8,73 ; 8,97 ; 7,96 ; 7,15 
Métallurgie des métaux ferreux;D0.2.1.2.2.5;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 25,54 ; 25,62 ; 24,03 ; 23,12 ; 22,99 ; 22,04 ; 21,55 ; 23,05 ; 23,38 ; 23,96 ; 25,27 ; 23,36 ; 24,63 ; 24,37 ; 24,47 ; 24,89 ; 25,83 ; 26,63 ; 24,17 ; 15,27 ; 19,35 ; 17,74 ; 17,11 ; 18,69 ; 18,30 ; 17,86 ; 17,33 ; 18,76 ; 18,37 ; 16,91 ; 12,78 ; 15,83 ; 14,17 ; 12,20 
Métallurgie des métaux non-ferreux;D0.2.1.2.2.6;;CITEPA;https://www.citepa.org/donnees-air-climat/donnees-gaz-a-effet-de-serre/secten/;France;G0.2.2.3;Mt CO2e;; 7,44 ; 8,10 ; 7,87 ; 6,33 ; 5,82 ; 5,72 ; 5,59 ; 5,60 ; 6,30 ; 6,85 ; 5,56 ; 5,03 ; 6,03 ; 5,33 ; 4,36 ; 3,65 ; 3,58 ; 3,29 ; 2,86 ; 2,23 ; 2,54 ; 2,43 ; 2,47 ; 2,35 ; 2,34 ; 2,35 ; 2,76 ; 2,59 ; 2,53 ; 2,40 ; 1,92 ; 2,17 ; 2,11 ; 2,06 
